zip,total,grand_total,pct_total
21502,30686.86,52188.86,41.20036344921119
21503,103,21606,99.52328057021198
21504,5.5,21509.5,99.97442990306608
21520,172.5,21692.5,99.20479428373862
21521,168.5,21689.5,99.22312639756564
21530,5845.3,27375.3,78.64753993563541
21531,446.1,21977.1,97.97015984820564
21532,7935.4,29467.4,73.07057969145563
21536,1244.3,22780.3,94.53782434823071
21539,97,21636,99.55167313736365
21541,1165.67,22706.67,94.86639828737547
21545,173.5,21718.5,99.20114188364758
21550,9914.01,31464.010000000002,68.4909520433028
21555,4643,26198,82.27727307428047
21557,165,21722,99.24040143633182
21560,13,21573,99.93973948917628
21561,2350.7,23911.7,90.16924769046115
21562,174,21736,99.19948472580052
21592,16.5,21608.5,99.92364115972882
21601,98872.32,120473.32,17.930110998850203
21602,5,21607,99.9768593511362
21607,110,21717,99.4934843670857
21610,9877.32,31487.32,68.6308012241118
21612,4548,26160,82.61467889908258
21613,21287.97,42900.97,50.378814278558274
21614,15,21629,99.93064866614267
21617,11513.66,33130.66,65.24771918217142
21619,17950.83,39569.83,54.63505908415578
21620,91615.14,113235.14,19.093012999321587
21622,55,21677,99.74627485353139
21623,2102.5,23725.5,91.13822680238562
21624,1341,22965,94.16067929457871
21625,1094.22,22719.22,95.18372549761831
21628,483.5,22111.5,97.81335504149425
21629,4987.22,26616.22,81.26247829331137
21631,152.5,21783.5,99.29992884522689
21632,3807.83,25439.83,85.03201475796025
21635,3784.59,25419.59,85.11152225507963
21636,211,21847,99.03419233762072
21638,8485.12,30123.120000000003,71.83186867761373
21639,2797.75,24436.75,88.55105527535372
21640,15,21655,99.93073193257908
21641,88,21729,99.59501127525427
21643,3808.88,25451.88,85.03497580532361
21645,2012.83,23657.83,91.49190775316247
21647,3788.28,25435.28,85.10619894886159
21649,241.5,21890.5,98.89678170896052
21650,2846,24496,88.38177661659047
21651,1921,23572,91.850500593925
21652,1204.36,22856.36,94.73074452800007
21653,16,21669,99.92616179796022
21654,55050.57,76704.57,28.23039096627489
21655,1154,22809,94.94059362532333
21657,2191.5,23848.5,90.81074281401345
21658,6788.15,28446.15,76.13684101363452
21660,3022,24682,87.7562596223969
21661,4998.62,26659.62,81.25022037073298
21662,38539.58,60201.58,35.982444314584434
21663,36987.95,58650.95,36.9354631084407
21664,35,21699,99.83870224434305
21665,1187,22852,94.80570628391388
21666,19029.29,40695.29,53.239576373580334
21667,2544.34,24211.34,89.49112275487437
21668,791.3,22459.3,96.47673792148464
21669,1660.5,23329.5,92.88240210891789
21671,3601.3,25272.3,85.75001088147893
21672,229,21901,98.95438564449111
21673,2351.5,24024.5,90.21207517326063
21676,1101,22777,95.16617640602362
21677,111.5,21788.5,99.48826215664226
